step,vehicle_density,pre_vehicle_density,vehicle_avg_speed,v2u_rate,v2i_rate
10,0.0,0.0,0,0.0,0.0
20,0.0,0.0,0,0.0,0.0
30,0.0,0.0,0,0.0,0.0
40,0.2,0.0,1.2178039984484565,0.0,0.0
50,0.2,0.2,3.28289707408437,0.0,0.0
60,0.2,0.2,5.110914375634505,0.0,0.0
70,0.2,0.2,7.153054894652788,0.0,0.0
80,0.2,0.2,9.211674854430939,0.0,0.0
90,0.2,0.2,11.24909781323197,0.0,0.0
100,0.0,0.2,0,0.0,0.0
110,0.0,0.0,0,0.0,0.0
120,0.0,0.0,0,0.0,0.0
130,0.2,0.0,2.0766221999896115,0.0,0.0
140,0.2,0.2,4.154410193838775,0.0,0.0
150,0.2,0.2,6.071951681074347,0.0,0.0
160,0.2,0.2,8.034555486740203,0.0,0.0
170,0.2,0.2,10.080829919554882,0.0,0.0
180,0.2,0.2,12.085087291297157,0.0,0.0
190,0.2,0.2,13.494718715097811,0.0,0.0
200,0.2,0.2,15.459339996258317,0.0,0.0
210,0.2,0.2,16.2750689916624,0.0,0.0
220,0.4,0.2,17.439108015381994,0.0,0.0
230,0.4,0.4,16.203678167646423,0.0,0.0
240,0.4,0.4,14.91260721911458,0.0,0.0
250,0.4,0.4,13.661980062871157,0.0,0.0
260,0.4,0.4,12.574654692203328,0.0,0.0
270,0.4,0.4,12.991390448408774,0.0,0.0
280,0.4,0.4,10.85821622462858,0.0,0.0
290,0.4,0.4,8.614397860700578,0.28344663212228854,0.0
300,0.4,0.4,6.3656871484537465,0.2739984110515455,0.0
310,0.4,0.4,5.220314146795154,0.2651597526305278,0.0
320,0.4,0.4,5.54781765898837,0.25687351036082373,0.0
330,0.4,0.4,6.5876224129382335,0.24908946459231388,0.0
340,0.4,0.4,7.478756536712478,0.24176330386901046,0.0
350,0.2,0.4,0.0,0.2348557809013244,0.0
360,0.2,0.2,0.0,0.2283320092096209,0.0
370,0.2,0.2,0.0,0.22216087382557703,0.0
380,0.2,0.2,0.0,0.2163145350406934,0.0
390,0.2,0.2,2.3375281514594906,0.2107680085011884,0.0
400,0.2,0.2,4.358740570249113,0.20549880828865866,0.0
410,0.2,0.2,6.389257436461822,0.2004866422328377,0.0
420,0.4,0.2,4.843766347564932,0.1957131507511034,0.0
430,0.4,0.4,6.723259230602606,0.1911616821289847,0.0
440,0.4,0.4,8.786107722317873,0.18681709844423502,0.0
450,0.6,0.4,13.6445444575945,0.18266560736769644,0.0
460,0.6,0.6,13.673307511159441,0.17869461590318128,0.0
470,0.6,0.6,13.064866794045983,0.17489260279885824,0.0
480,0.8,0.6,9.022336502424023,0.17124900690721534,0.0
490,0.8,0.8,7.373013522409213,0.16775412921523133,0.0
500,0.8,0.8,5.829451183240009,0.1643990466309267,0.0
510,0.8,0.8,5.080328905494417,0.16117553591267322,0.0
520,0.8,0.8,5.6445616803024565,0.15807600637589103,0.0
530,0.8,0.8,6.673248801648757,0.15509344021785532,0.0
540,0.8,0.8,7.129880140080314,0.15222133947308022,0.0
550,1.0,0.8,5.238346873950211,0.14945367875538784,0.0
560,0.8,1.0,1.357461701835943,0.14678486306332733,0.0
570,1.0,0.8,5.09480220349222,0.14420969002712858,0.0
