step,v2u_rate,v2i_rate,u2i_rate,task_waiting,task_offload,task_computing,task_done,task_failed,avg_running_compute_delay
1110,0.25,0.19,0.19,0,0,5,280,183,0.82
1120,0.25,0.18,0.19,1,0,2,283,183,0.35
1130,0.24,0.2,0.21,1,0,24,285,183,0.9673
1140,0.24,0.2,0.2,2,0,3,299,192,1.35
1150,0.24,0.2,0.2,2,0,4,299,195,0.625
1160,0.24,0.2,0.2,1,0,2,301,197,0.3
1170,0.24,0.19,0.22,1,0,24,303,197,1.2617
1180,0.23,0.19,0.23,2,0,8,313,210,1.1183
1190,0.23,0.19,0.29,0,0,8,313,212,0.3757
1200,0.23,0.19,0.29,0,0,0,321,212,0.0
1210,0.23,0.19,0.3,1,0,24,321,212,1.2179
1220,0.23,0.19,0.3,0,0,5,332,222,1.2083
1230,0.22,0.18,0.3,0,0,2,332,227,0.5
1240,0.22,0.18,0.3,0,0,0,334,227,0.0
1250,0.22,0.18,0.37,2,0,27,334,227,1.323
1260,0.22,0.18,0.37,0,0,9,345,237,1.01
1270,0.22,0.18,0.36,0,0,3,345,248,0.5667
1280,0.22,0.18,0.36,0,0,1,348,248,1.3
1290,0.21,0.18,0.36,1,0,20,348,248,1.0765
1300,0.21,0.17,0.36,0,0,5,362,252,0.97
1310,0.21,0.17,0.35,0,0,1,363,255,0.2
1320,0.21,0.17,0.35,0,0,1,364,255,1.3
1330,0.21,0.17,0.36,0,0,26,364,256,1.0452
1340,0.21,0.17,0.36,1,0,6,379,263,1.08
1350,0.2,0.17,0.36,1,0,6,380,268,0.7667
1360,0.2,0.17,0.42,0,0,3,384,268,0.2333
1370,0.2,0.17,0.43,1,0,23,387,268,1.065
1380,0.2,0.16,0.43,0,0,5,399,278,1.0333
1390,0.2,0.16,0.42,0,0,3,399,282,0.4222
1400,0.2,0.16,0.42,1,0,5,402,282,0.94
1410,0.2,0.16,0.43,2,0,26,403,283,1.1395
1420,0.19,0.16,0.43,0,0,7,415,296,1.0357
1430,0.19,0.16,0.48,1,0,4,416,300,0.295
1440,0.19,0.16,0.55,1,0,0,421,300,0.0
1450,0.19,0.16,0.56,1,0,25,421,300,1.1005
1460,0.19,0.16,0.63,1,0,7,429,315,0.8836
1470,0.19,0.15,0.67,0,0,9,429,321,0.4012
1480,0.19,0.15,0.67,0,0,3,436,324,0.7133
1490,0.19,0.15,0.66,1,0,21,437,325,0.91
1500,0.18,0.15,0.66,0,0,3,453,330,1.0833
1510,0.18,0.15,0.65,0,0,3,453,331,0.3667
1520,0.18,0.15,0.65,1,0,4,456,331,1.25
1530,0.18,0.15,0.66,3,0,27,456,331,1.005
1540,0.18,0.15,0.65,0,0,5,471,344,1.1733
1550,0.18,0.15,0.65,0,0,6,471,347,0.69
1560,0.18,0.15,0.65,0,0,1,475,349,1.2
1570,0.18,0.14,0.65,0,0,24,475,349,0.9757
1580,0.17,0.14,0.65,0,0,0,493,355,0.0
1590,0.17,0.14,0.65,0,0,1,493,355,0.6
1600,0.17,0.14,0.64,0,0,1,494,355,1.3
1610,0.17,0.14,0.65,1,0,25,494,355,0.9777
1620,0.17,0.14,0.65,0,0,5,510,363,0.945
1630,0.17,0.14,0.64,0,0,4,510,365,0.3125
1640,0.17,0.14,0.7,0,0,2,514,365,0.47
1650,0.17,0.14,0.69,1,0,25,515,365,1.0359
1660,0.17,0.14,0.74,0,0,4,532,372,1.4222
1670,0.17,0.14,0.74,0,0,4,532,374,1.2389
1680,0.16,0.13,0.74,0,0,1,533,376,0.1
1690,0.16,0.13,0.73,0,0,25,534,376,1.2075
1700,0.16,0.13,0.73,0,0,3,548,385,0.9611
1710,0.16,0.13,0.72,1,0,0,548,389,0.0
1720,0.16,0.13,0.72,0,0,2,548,389,0.75
1730,0.16,0.13,0.71,0,0,20,549,389,1.2911
1740,0.16,0.13,0.71,0,0,2,559,399,1.3
1750,0.16,0.13,0.71,0,0,4,559,400,0.775
1760,0.16,0.13,0.7,0,0,2,560,403,0.25
1770,0.16,0.13,0.7,1,0,21,562,403,1.0861
1780,0.15,0.13,0.69,0,0,5,575,408,0.9875
1790,0.15,0.13,0.69,0,0,1,576,411,0.3
1800,0.15,0.13,0.69,1,0,2,577,411,1.05
1810,0.15,0.13,0.68,1,0,27,578,411,1.1795
1820,0.15,0.12,0.68,1,0,6,589,425,1.7333
1830,0.15,0.12,0.68,0,0,6,589,428,0.8467
1840,0.15,0.12,0.67,0,0,2,592,432,1.05
1850,0.15,0.12,0.67,3,0,26,592,432,1.2125
1860,0.15,0.12,0.66,2,0,9,606,442,1.1625
1870,0.15,0.12,0.66,1,0,11,607,449,1.0704
1880,0.15,0.12,0.66,0,0,7,612,450,0.7278
1890,0.15,0.13,0.65,1,0,23,615,452,1.0665
1900,0.15,0.13,0.65,1,0,4,626,462,0.7438
1910,0.14,0.16,0.65,0,0,0,630,463,0.0
1920,0.14,0.16,0.64,0,0,2,630,463,1.05
1930,0.14,0.17,0.64,1,0,25,631,463,1.0059
1940,0.14,0.23,0.64,0,0,4,646,472,0.7775
1950,0.14,0.23,0.63,0,0,2,646,478,0.58
1960,0.14,0.22,0.63,0,0,2,647,478,0.55
1970,0.14,0.23,0.63,1,0,22,648,478,0.8419
1980,0.14,0.23,0.62,0,0,4,665,483,1.05
1990,0.14,0.27,0.62,0,0,5,666,484,0.71
2000,0.14,0.27,0.62,2,0,4,668,485,0.6975
2010,0.14,0.28,0.62,1,0,27,669,487,1.1433
2020,0.14,0.28,0.61,0,0,5,681,501,1.03
2030,0.14,0.28,0.61,0,0,2,681,504,0.1667
2040,0.14,0.28,0.61,1,0,2,682,505,0.8
2050,0.13,0.29,0.6,1,0,25,683,505,1.1285
2060,0.13,0.29,0.6,1,0,5,693,519,1.0733
2070,0.13,0.28,0.6,0,0,7,693,523,0.7944
2080,0.13,0.28,0.59,1,0,3,696,524,0.2333
2090,0.15,0.29,0.59,1,0,22,698,525,0.871
2100,0.15,0.29,0.59,0,0,4,716,529,1.0375
2110,0.15,0.29,0.59,1,0,3,717,530,0.35
2120,0.15,0.29,0.58,0,0,3,720,530,0.8667
2130,0.17,0.3,0.58,1,0,23,721,531,0.8982
2140,0.16,0.29,0.58,0,0,5,734,542,1.2
2150,0.16,0.29,0.58,0,0,7,734,545,0.75
2160,0.16,0.33,0.57,1,0,7,739,545,0.8933
2170,0.18,0.34,0.57,3,0,24,743,545,1.3006
2180,0.18,0.34,0.57,1,0,5,752,561,1.0
2190,0.18,0.37,0.56,0,0,6,753,563,0.41
2200,0.18,0.37,0.56,0,0,2,759,563,1.3
2210,0.17,0.38,0.56,2,0,26,759,564,0.9513
2220,0.17,0.38,0.56,0,0,7,777,571,1.3056
2230,0.17,0.41,0.55,1,0,9,777,574,0.5807
2240,0.17,0.41,0.55,0,0,6,783,578,1.14
2250,0.17,0.41,0.55,0,0,26,784,579,0.9877
2260,0.17,0.41,0.55,0,0,2,800,589,1.2167
2270,0.17,0.41,0.54,0,0,2,800,589,0.2167
2280,0.17,0.41,0.54,0,0,1,802,589,0.9
2290,0.17,0.41,0.54,2,0,24,802,589,1.085
2300,0.17,0.41,0.54,0,0,4,817,598,0.975
2310,0.17,0.4,0.54,0,0,6,818,599,1.3375
2320,0.17,0.4,0.53,0,0,6,820,601,1.19
2330,0.17,0.4,0.53,1,0,24,821,604,1.2842
2340,0.16,0.4,0.53,0,0,3,830,619,1.0833
2350,0.16,0.4,0.53,0,0,3,830,621,0.6333
2360,0.16,0.4,0.52,1,0,3,832,621,0.8333
2370,0.16,0.39,0.52,2,0,28,833,621,1.37
2380,0.16,0.39,0.52,1,0,8,843,635,1.0479
2390,0.16,0.39,0.52,0,0,5,843,640,0.6833
2400,0.16,0.39,0.52,0,0,2,845,642,0.9
