Update Call #10:
Node ID: UAV_0, Type: uav, Position (x, y, z): (2802.160729340222, 1945.3920710844118, 148.48237439044215), Speed: 10.727840752229715, Angle: 0.22468276832890244, Acceleration: 77.94781954647442
Node ID: UAV_1, Type: uav, Position (x, y, z): (1361.1701179958552, 103.34074854671626, 172.52273675698666), Speed: 10.432730197100481, Angle: 1.516918259627335, Acceleration: 8.111189165736103
Node ID: UAV_2, Type: uav, Position (x, y, z): (1537.6863295135863, 2387.2319393119824, 181.52942685604057), Speed: 29.22062560479222, Angle: 0.17111694510990325, Acceleration: -35.582554078598925
Node ID: UAV_3, Type: uav, Position (x, y, z): (402.72574892662414, 808.7145150520034, 157.8717380751038), Speed: 13.699438827948766, Angle: 5.868103750940744, Acceleration: 134.070135622557
Node ID: UAV_4, Type: uav, Position (x, y, z): (1666.168295830963, 1315.7289937317835, 168.9228390790517), Speed: 12.477903288488633, Angle: 3.163375913760356, Acceleration: 18.975678929687163
Node ID: UAV_5, Type: uav, Position (x, y, z): (2840.545200268684, 574.9725295314818, 192.28839030355567), Speed: 14.211530197732928, Angle: 5.784696546239674, Acceleration: 121.30875862644733
Node ID: UAV_6, Type: uav, Position (x, y, z): (1171.0227801164522, 1745.6531520413723, 190.23147897001832), Speed: 26.01493180708362, Angle: 4.180247131549264, Acceleration: -33.308035360379336
Node ID: UAV_7, Type: uav, Position (x, y, z): (923.9880008855048, 1917.7190025381992, 166.32427923334825), Speed: 28.739383172891614, Angle: -0.39286002222995786, Acceleration: -0.08988849095885598
Node ID: UAV_8, Type: uav, Position (x, y, z): (2784.280602741027, 446.8711851985781, 145.07451090928245), Speed: 10.455651513373168, Angle: 3.484241084974711, Acceleration: 115.87758233599918
Node ID: UAV_9, Type: uav, Position (x, y, z): (643.3571555148973, 2045.435182506805, 133.7247243100167), Speed: 18.512376639336345, Angle: 0.7584354565531947, Acceleration: -70.32438754126905
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #20:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (1748.2538114412955, 932.6878111725847, 0), Speed: 2.0640160493739548, Angle: 161.21433014043194, Acceleration: 2.0212376755636474
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (2318.782535959792, 804.4737799824605, 0), Speed: 0.0, Angle: 164.15442910106592, Acceleration: 0.0
Node ID: UAV_0, Type: uav, Position (x, y, z): (2798.9304461930346, 1942.200520951503, 148.48237439044215), Speed: 24.247153050324833, Angle: 3.6789594242586623, Acceleration: -134.33887576819615
Node ID: UAV_1, Type: uav, Position (x, y, z): (1374.3241737361247, 114.68218509789126, 171.81844285822513), Speed: 28.054203012386616, Angle: 0.6587646757629587, Acceleration: -44.342676101617506
Node ID: UAV_2, Type: uav, Position (x, y, z): (1533.6753461029855, 2381.222079837018, 181.52942685604057), Speed: 22.802823995864482, Angle: 5.914971135723487, Acceleration: -16.35709273923542
Node ID: UAV_3, Type: uav, Position (x, y, z): (397.8866842894821, 808.6126266662762, 157.8717380751038), Speed: 17.44898525944512, Angle: 5.218286704023437, Acceleration: 114.810658239548
Node ID: UAV_4, Type: uav, Position (x, y, z): (1664.808516893763, 1312.2182442549433, 168.9228390790517), Speed: 20.75857567463641, Angle: 1.6565909071061857, Acceleration: 80.10200320061962
Node ID: UAV_5, Type: uav, Position (x, y, z): (2834.9185227210123, 578.5376135575136, 192.28839030355567), Speed: 14.156882073816494, Angle: 4.638532132070978, Acceleration: 140.40141474285554
Node ID: UAV_6, Type: uav, Position (x, y, z): (1168.3103256754268, 1743.2009693626617, 190.23147897001832), Speed: 21.74251009390287, Angle: 3.839686248046028, Acceleration: -109.02419454556043
Node ID: UAV_7, Type: uav, Position (x, y, z): (939.5366355567644, 1911.2756152350646, 165.72349955532204), Speed: 10.177941640981576, Angle: -0.3928600222299581, Acceleration: 148.04754826835685
Node ID: UAV_8, Type: uav, Position (x, y, z): (2788.920608009469, 448.1053151059775, 145.07451090928245), Speed: 13.020463477279755, Angle: 3.6944675507793114, Acceleration: 110.06032874617439
Node ID: UAV_9, Type: uav, Position (x, y, z): (648.7094666755462, 2045.3028107731384, 133.7247243100167), Speed: 16.668167760597328, Angle: 5.783652213763885, Acceleration: 64.39069532897264
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #30:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (1749.2735012900837, 929.6900344586612, 0), Speed: 4.114219536779457, Angle: 161.21433014043237, Acceleration: 2.5179534235503542
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (2319.136437090356, 803.2269060336807, 0), Speed: 2.272756225616123, Angle: 164.15442910106626, Acceleration: 1.6744655293678479
Node ID: vehicle_2, Type: vehicle, Position (x, y, z): (1336.3706989031714, 1561.4241778916476, 0), Speed: 0.2590688563627191, Angle: 253.7615940265343, Acceleration: 2.590688563627191
Node ID: UAV_0, Type: uav, Position (x, y, z): (2792.841238896539, 1932.0948151026855, 148.31443561514166), Speed: 13.275908476261026, Angle: -2.5942867683125517, Acceleration: 160.96056957593115
Node ID: UAV_1, Type: uav, Position (x, y, z): (1391.0658234430086, 127.64235485319593, 171.01489843693102), Speed: 28.710486758846166, Angle: 0.6587646757629586, Acceleration: -86.10492906732598
Node ID: UAV_2, Type: uav, Position (x, y, z): (1531.1258852437024, 2363.2413517866084, 180.90100484750758), Speed: 14.779034001691391, Angle: -1.6756954076168928, Acceleration: 132.42775535988707
Node ID: UAV_3, Type: uav, Position (x, y, z): (399.9169743134532, 807.3792119475266, 157.8717380751038), Speed: 24.589013282945853, Angle: 0.06410924074168915, Acceleration: -45.40441303897303
Node ID: UAV_4, Type: uav, Position (x, y, z): (1646.0997377894148, 1321.515035043718, 168.03379295229985), Speed: 16.680492916036698, Angle: 2.680411038352382, Acceleration: 47.96956633794288
Node ID: UAV_5, Type: uav, Position (x, y, z): (2828.154392568837, 580.1190577112446, 192.28839030355567), Speed: 28.83724198280779, Angle: 4.250042923145921, Acceleration: -52.65814847020607
Node ID: UAV_6, Type: uav, Position (x, y, z): (1168.311164886758, 1743.5228389812276, 190.23147897001832), Speed: 19.626608255187577, Angle: 2.5336738646743333, Acceleration: 64.75591525455165
Node ID: UAV_7, Type: uav, Position (x, y, z): (957.386067257142, 1903.8787727458025, 165.03381997530548), Speed: 12.818097545479379, Angle: -0.392860022229958, Acceleration: 123.38830099748272
Node ID: UAV_8, Type: uav, Position (x, y, z): (2780.1024709302283, 449.9322430364516, 145.07451090928245), Speed: 27.79922975053268, Angle: 3.1641127146575534, Acceleration: 20.11421503578564
Node ID: UAV_9, Type: uav, Position (x, y, z): (644.2915752251816, 2044.3851291496414, 133.7247243100167), Speed: 22.039334135828724, Angle: 0.3695586438122834, Acceleration: 28.999736471739297
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #40:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (1751.0625881535257, 924.7555273524089, 0), Speed: 6.032435069038072, Angle: 160.0140184909657, Acceleration: 1.5730996094644034
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (2320.03200748894, 800.071608401507, 0), Speed: 4.163025437571285, Angle: 164.15442910106592, Acceleration: 2.420595250301991
Node ID: vehicle_2, Type: vehicle, Position (x, y, z): (1334.8572212224935, 1560.7803851468816, 0), Speed: 2.5594449971877555, Angle: 250.55395979731534, Acceleration: 2.2731977249932367
Node ID: vehicle_3, Type: vehicle, Position (x, y, z): (544.1297822866358, 1974.4379683786162, 0), Speed: 0.7245881387418855, Angle: 9.984193472933818, Acceleration: 2.3159096455670523
