Update Call #10:
Node ID: UAV_1, Type: uav, Position (x, y, z): (722.7370043194895, 1997.3076494778536, 171.6907118429657), Speed: 20.35996716586446, Angle: 3.0715944973562377, Acceleration: 68.78100544637991
Node ID: UAV_2, Type: uav, Position (x, y, z): (2395.6433612697506, 1934.3784488897886, 197.04017499212026), Speed: 22.002845703144754, Angle: 2.5374258232221996, Acceleration: 40.10063284380273
Node ID: UAV_3, Type: uav, Position (x, y, z): (2106.4209467646515, 2145.0084124764217, 109.18659518433485), Speed: 11.527162156546918, Angle: -1.9613183999241879, Acceleration: 158.46748040485124
Node ID: UAV_4, Type: uav, Position (x, y, z): (276.8603997486095, 2386.2951791266178, 150.42797556181384), Speed: 18.5273335733683, Angle: 3.624598240286232, Acceleration: 6.873683725025579
Node ID: UAV_5, Type: uav, Position (x, y, z): (2348.9146891126306, 72.1275206886628, 194.3595452996185), Speed: 25.092365325406913, Angle: 5.944349784621325, Acceleration: -76.65927961633375
Node ID: UAV_6, Type: uav, Position (x, y, z): (440.9520784088733, 206.13527090289398, 151.79292000872655), Speed: 15.793282767447277, Angle: 6.104073008923664, Acceleration: 18.513684519639888
Node ID: UAV_7, Type: uav, Position (x, y, z): (365.50067948894895, 1896.4230669397568, 100.601605025754), Speed: 28.022774398120383, Angle: 4.653864977439714, Acceleration: -74.26621183184636
Node ID: UAV_8, Type: uav, Position (x, y, z): (2122.193580973642, 1225.7534115821197, 172.64873603991919), Speed: 18.356813017382713, Angle: 5.308563660996497, Acceleration: -76.84452720258257
Node ID: UAV_9, Type: uav, Position (x, y, z): (1119.2030578165406, 2131.3767452672546, 180.97611559868855), Speed: 29.450970214935175, Angle: 4.5903453210411636, Acceleration: -176.38032407111257
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #40:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (1751.0625881535257, 924.7555273524089, 0), Speed: 6.032435069038072, Angle: 160.0140184909657, Acceleration: 1.5730996094644034
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (2320.03200748894, 800.071608401507, 0), Speed: 4.163025437571285, Angle: 164.15442910106592, Acceleration: 2.420595250301991
Node ID: vehicle_2, Type: vehicle, Position (x, y, z): (1374.1171410832073, 1452.0641328537492, 0), Speed: 2.790451275475181, Angle: 53.45564305281562, Acceleration: 2.0111212475458196
Node ID: vehicle_3, Type: vehicle, Position (x, y, z): (544.1086725522964, 1974.3180556905488, 0), Speed: 0.2576155760171823, Angle: 9.984193472933818, Acceleration: 2.5761557601718232
Node ID: UAV_0, Type: uav, Position (x, y, z): (844.0698655613361, 2006.3899810517958, 153.74923902237927), Speed: 17.382602943400514, Angle: -0.3472142223688722, Acceleration: 118.62246786807869
Node ID: UAV_1, Type: uav, Position (x, y, z): (703.7701823309424, 1998.637464673516, 169.01571705773554), Speed: 10.493000288723115, Angle: 3.0715944973562377, Acceleration: 139.57855153053683
Node ID: UAV_2, Type: uav, Position (x, y, z): (2378.8391346032727, 1931.5684970524242, 195.70595024461446), Speed: 22.09696475161062, Angle: 3.0920679893973215, Acceleration: -105.26193958574545
Node ID: UAV_3, Type: uav, Position (x, y, z): (2098.9201533188907, 2126.7878025236046, 109.10087580030553), Speed: 27.183512172384177, Angle: -1.9613183999241879, Acceleration: -157.76922854857062
Node ID: UAV_4, Type: uav, Position (x, y, z): (281.1069888645793, 2387.4827266765774, 150.42797556181384), Speed: 13.739834048457155, Angle: 4.867073437770879, Acceleration: 34.452322479675814
Node ID: UAV_5, Type: uav, Position (x, y, z): (2342.4647121111675, 69.06429255071548, 192.6691985578002), Speed: 12.24782071660368, Angle: -3.1090515608083233, Acceleration: -16.602705614639515
Node ID: UAV_6, Type: uav, Position (x, y, z): (442.9733374189929, 206.83897610657624, 151.79292000872655), Speed: 16.888992146772217, Angle: 5.76315340932469, Acceleration: 0.685623989145725
Node ID: UAV_7, Type: uav, Position (x, y, z): (360.0082271870223, 1889.4683437770211, 100.601605025754), Speed: 29.183430412146276, Angle: 2.9215708070194526, Acceleration: -189.84145585886955
Node ID: UAV_8, Type: uav, Position (x, y, z): (2122.2703600723657, 1221.8070918735575, 172.64873603991919), Speed: 12.603153888573681, Angle: 4.667465442577488, Acceleration: 168.83316368245673
Node ID: UAV_9, Type: uav, Position (x, y, z): (1117.510904825072, 2138.972850959521, 180.97611559868855), Speed: 29.330385209339877, Angle: 0.11764146590289151, Acceleration: -29.50251227962621
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #50:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (1753.5833733114255, 918.0685158082861, 0), Speed: 8.047899431030269, Angle: 159.3451939701281, Acceleration: 1.6728064819937494
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (2321.445071906007, 795.093061973074, 0), Speed: 6.155159709745728, Angle: 164.15442910106626, Acceleration: 2.352930495096368
Node ID: vehicle_2, Type: vehicle, Position (x, y, z): (1377.1305407745904, 1454.7053164534325, 0), Speed: 4.56092780563454, Angle: 49.90289498769203, Acceleration: 2.030410057096743
Node ID: vehicle_3, Type: vehicle, Position (x, y, z): (544.3186303349706, 1975.5107093590618, 0), Speed: 1.4297859086275997, Angle: 9.984193472934276, Acceleration: -0.39092870723236084
Node ID: vehicle_4, Type: vehicle, Position (x, y, z): (1338.4032503678213, 811.8217990121078, 0), Speed: 0.7484680454033272, Angle: 89.76269716194653, Acceleration: 2.3397902883097133
