Update Call #1210:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (1735.14, 1637.57, 0), Speed: 0.0, Angle: 169.6550205287228, Acceleration: 0.0
Node ID: UAV_0, Type: uav, Position (x, y, z): (980.2459097329216, 2098.740771202191, 141.1630265406534), Speed: 20.810709532640015, Angle: 2.409394900145353, Acceleration: -64.8787912336399
Node ID: UAV_1, Type: uav, Position (x, y, z): (136.43131688101965, 1132.6243046075028, 110.64182338804153), Speed: 18.324748529023182, Angle: 5.56437387660573, Acceleration: 22.384871433633435
Node ID: UAV_2, Type: uav, Position (x, y, z): (1434.2122176914977, 2222.9818874924194, 165.48366867062856), Speed: 11.468806848067054, Angle: 3.807488535281957, Acceleration: 94.45220280093594
Node ID: UAV_3, Type: uav, Position (x, y, z): (1699.0601104959403, 710.7637558059557, 163.51902734976682), Speed: 11.076671584638078, Angle: 1.8108437310656078, Acceleration: 45.15851753595882
Node ID: UAV_4, Type: uav, Position (x, y, z): (1510.1129223716384, 1360.8812579632802, 185.51314770077306), Speed: 21.87096622827602, Angle: 4.285270348662657, Acceleration: 38.292194475453734
Node ID: UAV_5, Type: uav, Position (x, y, z): (714.5387230390162, 1000.6694356507464, 146.28764978326956), Speed: 10.463058274197527, Angle: 6.014528764011992, Acceleration: 175.82707355676595
Node ID: UAV_6, Type: uav, Position (x, y, z): (2695.213000926346, 805.9309170329357, 170.4863441752077), Speed: 18.127905830319918, Angle: 3.9422599443540305, Acceleration: -57.8626184493616
Node ID: UAV_7, Type: uav, Position (x, y, z): (555.0704155160711, 1820.1012921174374, 179.5077267910001), Speed: 29.286769862953854, Angle: 2.726916338785457, Acceleration: -23.71874799383331
Node ID: UAV_8, Type: uav, Position (x, y, z): (2466.592676195498, 392.98246471345453, 147.29498250567818), Speed: 25.163895449868228, Angle: 5.924219194410885, Acceleration: -76.0584152637001
Node ID: UAV_9, Type: uav, Position (x, y, z): (388.9602831723747, 186.17924053110292, 172.8354489593582), Speed: 15.399426838728127, Angle: 0.18629985519665437, Acceleration: 15.102837588647926
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #1220:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (1735.3410178633844, 1636.2724039203335, 0), Speed: 2.350721622239985, Angle: 170.0789761628374, Acceleration: 2.238538728476822
Node ID: UAV_0, Type: uav, Position (x, y, z): (979.3760155194459, 2094.343142453378, 141.1630265406534), Speed: 16.890315284557232, Angle: 4.389952901091105, Acceleration: -22.546605477755648
Node ID: UAV_1, Type: uav, Position (x, y, z): (126.38838067987571, 1139.1475652156782, 110.64182338804153), Speed: 27.83755342687105, Angle: 3.070209384850951, Acceleration: -62.34367736774988
Node ID: UAV_2, Type: uav, Position (x, y, z): (1433.8173799516057, 2224.5616657066807, 165.48366867062856), Speed: 26.942218590633914, Angle: 4.9219966990814665, Acceleration: -163.36811094198782
Node ID: UAV_3, Type: uav, Position (x, y, z): (1692.7786212378417, 702.6207390833266, 163.51902734976682), Speed: 27.679542138723004, Angle: 4.6895826624569175, Acceleration: -150.9138606545361
Node ID: UAV_4, Type: uav, Position (x, y, z): (1516.7917193033857, 1356.37248354833, 185.51314770077306), Speed: 29.76699580751092, Angle: 5.650193014667056, Acceleration: -172.20848183464796
Node ID: UAV_5, Type: uav, Position (x, y, z): (722.6456183993821, 990.9993258892762, 146.28764978326956), Speed: 27.625159291262403, Angle: 6.069108816418489, Acceleration: -27.81650662798537
Node ID: UAV_6, Type: uav, Position (x, y, z): (2692.2899119575463, 809.1807941579145, 170.4863441752077), Speed: 24.060081423100627, Angle: 4.990771218456827, Acceleration: 25.470685762990044
Node ID: UAV_7, Type: uav, Position (x, y, z): (545.9379303843577, 1829.8111211577034, 179.5077267910001), Speed: 15.311955963815794, Angle: 4.11279320700635, Acceleration: 113.02709069115352
Node ID: UAV_8, Type: uav, Position (x, y, z): (2469.468780811258, 397.00369846441015, 147.29498250567818), Speed: 16.320891768203566, Angle: 4.325072746810816, Acceleration: 72.88823428620965
Node ID: UAV_9, Type: uav, Position (x, y, z): (384.4478690999903, 189.18323618168944, 172.8354489593582), Speed: 20.803185980116332, Angle: 1.498474603747157, Acceleration: 84.89628304882636
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #1230:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (1735.8658282929175, 1632.8846853143084, 0), Speed: 4.285241493035761, Angle: 171.18760000597152, Acceleration: 1.7577570290304667
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (580.4715582079587, 1224.1784658654176, 0), Speed: 1.9072512753520374, Angle: 151.7122258131701, Acceleration: 1.6306361858027674
Node ID: UAV_0, Type: uav, Position (x, y, z): (974.8549388698792, 2098.957610692704, 141.1630265406534), Speed: 22.082716208988963, Angle: 3.6334460512481668, Acceleration: 25.818439836264133
Node ID: UAV_1, Type: uav, Position (x, y, z): (130.88667038966466, 1136.7818335840414, 110.64182338804153), Speed: 28.534816528621583, Angle: 0.10541716282976259, Acceleration: -143.0662937483046
Node ID: UAV_2, Type: uav, Position (x, y, z): (1434.5057308851688, 2227.9662630138737, 165.48366867062856), Speed: 12.824791366725893, Angle: 5.008021457749636, Acceleration: 118.62406032622256
Node ID: UAV_3, Type: uav, Position (x, y, z): (1695.0023602124313, 704.5835634712294, 163.51902734976682), Speed: 16.31741765252005, Angle: 3.325635479467525, Acceleration: 128.9348468520162
Node ID: UAV_4, Type: uav, Position (x, y, z): (1520.079636170773, 1357.9442478549668, 185.51314770077306), Speed: 27.33288006611447, Angle: 0.7092806679315093, Acceleration: -105.63256796756458
Node ID: UAV_5, Type: uav, Position (x, y, z): (729.0425210937152, 996.7222371878345, 146.28764978326956), Speed: 20.685340647091543, Angle: 3.2841854401258783, Acceleration: -82.20820713123605
Node ID: UAV_6, Type: uav, Position (x, y, z): (2695.201397988217, 813.3205046317859, 170.4863441752077), Speed: 25.935703491655005, Angle: 1.046498894636586, Acceleration: -120.45939759964185
Node ID: UAV_7, Type: uav, Position (x, y, z): (544.4672863523409, 1829.1124914333739, 179.5077267910001), Speed: 29.736274393135734, Angle: 2.3647052989462014, Acceleration: -36.99415236994444
Node ID: UAV_8, Type: uav, Position (x, y, z): (2464.735993130326, 399.163286074643, 147.29498250567818), Speed: 17.182380431164844, Angle: 2.819891876161485, Acceleration: 58.873902374951754
Node ID: UAV_9, Type: uav, Position (x, y, z): (384.41604688106895, 190.15781915747303, 172.8354489593582), Speed: 23.313261969069714, Angle: 5.869391575309643, Acceleration: -120.34328944895566
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #1240:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (1736.6820741508318, 1627.6157136545673, 0), Speed: 6.2786736520521345, Angle: 171.19398989580864, Acceleration: 1.993280227389187
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (581.9201451699364, 1221.4867721296202, 0), Speed: 3.8567338455128026, Angle: 151.7122258131701, Acceleration: 1.4258321735309476
Node ID: vehicle_2, Type: vehicle, Position (x, y, z): (1487.0646056532555, 1171.5016728464357, 0), Speed: 1.9479231074170664, Angle: 337.25031100031424, Acceleration: 2.2104337447620503
Node ID: vehicle_3, Type: vehicle, Position (x, y, z): (557.156935684809, 2047.4766566921912, 0), Speed: 0.7364649151634252, Angle: 221.28976878469584, Acceleration: 2.4330511900552496
Node ID: UAV_0, Type: uav, Position (x, y, z): (974.6110397690635, 2102.639423999308, 141.1630265406534), Speed: 19.90042574886901, Angle: 2.4836299952988905, Acceleration: 1.1982226102829685
Node ID: UAV_1, Type: uav, Position (x, y, z): (125.37111826080302, 1130.048128635199, 110.64182338804153), Speed: 27.24583584514759, Angle: 3.9845015864323283, Acceleration: 5.318694693457964
Node ID: UAV_2, Type: uav, Position (x, y, z): (1440.4255273003225, 2226.080013547508, 165.48366867062856), Speed: 21.007473016981095, Angle: 3.0451021727636904, Acceleration: -105.30768072505973
Node ID: UAV_3, Type: uav, Position (x, y, z): (1701.615139904863, 708.4737584215308, 163.51902734976682), Speed: 27.69075099493581, Angle: 0.4557127258764054, Acceleration: -127.12298423056454
Node ID: UAV_4, Type: uav, Position (x, y, z): (1520.2033831470296, 1348.2418043755902, 185.51314770077306), Speed: 25.5751034278231, Angle: 4.361884086083126, Acceleration: -125.30864382212923
Node ID: UAV_5, Type: uav, Position (x, y, z): (728.9903236161296, 1000.7759638728097, 146.28764978326956), Speed: 19.59691147216152, Angle: 2.1236284034493806, Acceleration: 40.742148981265345
Node ID: UAV_6, Type: uav, Position (x, y, z): (2706.9186539733187, 816.9229367832008, 170.4863441752077), Speed: 22.623016482050403, Angle: 2.3624324683208346, Acceleration: -40.8681428957982
Node ID: UAV_7, Type: uav, Position (x, y, z): (547.5161071007013, 1830.3190233801072, 179.5077267910001), Speed: 28.76546546594166, Angle: 0.9796848697556841, Acceleration: -82.99568447710634
Node ID: UAV_8, Type: uav, Position (x, y, z): (2468.5197899843483, 400.90895963514924, 147.29498250567818), Speed: 12.243325205141025, Angle: 0.9313819397799395, Acceleration: 12.236218109761055
Node ID: UAV_9, Type: uav, Position (x, y, z): (384.3742921313618, 192.34773959825594, 172.8354489593582), Speed: 28.412596582219724, Angle: 4.317065205101838, Acceleration: -96.11874221075016
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #1250:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (1737.8679874326426, 1620.2711048087797, 0), Speed: 8.33697670694925, Angle: 170.82192099983666, Acceleration: 2.086871550069187
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (584.2722421342374, 1217.116220115157, 0), Speed: 5.857446362521452, Angle: 151.71222581316897, Acceleration: 2.281371169025075
Node ID: vehicle_2, Type: vehicle, Position (x, y, z): (1485.9310803115666, 1174.204865116362, 0), Speed: 3.8155055945798386, Angle: 337.2503110003167, Acceleration: 2.3375606575515118
Node ID: vehicle_3, Type: vehicle, Position (x, y, z): (555.8285795345881, 2045.9640759663923, 0), Speed: 3.025761152512271, Angle: 221.28976878469757, Acceleration: 1.7282408684724926
Node ID: UAV_0, Type: uav, Position (x, y, z): (967.9366406734043, 2103.5072378434697, 141.1630265406534), Speed: 26.681547257627344, Angle: 3.0089583153335377, Acceleration: -44.84047259835254
Node ID: UAV_1, Type: uav, Position (x, y, z): (120.41439975293748, 1131.7844337870201, 110.64182338804153), Speed: 13.300611068120748, Angle: 5.9897220817949295, Acceleration: 22.85780407866504
Node ID: UAV_2, Type: uav, Position (x, y, z): (1434.1139513700004, 2235.339672197751, 165.48366867062856), Speed: 26.60011176460392, Angle: 2.112917282194004, Acceleration: -44.08973739901885
Node ID: UAV_3, Type: uav, Position (x, y, z): (1700.605477661391, 703.3756549386551, 163.51902734976682), Speed: 20.75282253617059, Angle: 2.9075306895445565, Acceleration: -49.92420804491324
Node ID: UAV_4, Type: uav, Position (x, y, z): (1521.8147882881867, 1353.8887004656635, 185.51314770077306), Speed: 10.272615643343153, Angle: 1.6010539898204048, Acceleration: 55.864693659418485
Node ID: UAV_5, Type: uav, Position (x, y, z): (734.1495198699841, 996.825019661148, 146.28764978326956), Speed: 25.46924714412914, Angle: 0.6953957094555107, Acceleration: -46.43910165624323
Node ID: UAV_6, Type: uav, Position (x, y, z): (2706.5647013228418, 821.0808694744377, 170.4863441752077), Speed: 17.915039512781487, Angle: 0.6720076234709601, Acceleration: 54.75553499023029
Node ID: UAV_7, Type: uav, Position (x, y, z): (549.4810121241593, 1832.8177086020805, 179.5077267910001), Speed: 22.3961280503854, Angle: 1.5733314646237833, Acceleration: 20.77905383459033
Node ID: UAV_8, Type: uav, Position (x, y, z): (2466.9799595290037, 400.61904052200833, 147.29498250567818), Speed: 28.69754732355315, Angle: 0.43580234061065243, Acceleration: -8.299368190583785
Node ID: UAV_9, Type: uav, Position (x, y, z): (383.8840221782626, 188.1959022054627, 172.8354489593582), Speed: 27.861242908842236, Angle: 4.245704893089106, Acceleration: -60.67370336436973
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #1260:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (1739.35976323369, 1611.0382221482428, 0), Speed: 10.218273931977059, Angle: 170.82192099983925, Acceleration: 1.9465369170997349
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (587.5801016102755, 1210.9697167541203, 0), Speed: 7.833417001814532, Angle: 151.7122258131701, Acceleration: 1.4911100433673674
Node ID: vehicle_2, Type: vehicle, Position (x, y, z): (1484.0157122591431, 1178.8131000470269, 0), Speed: 5.871240361816118, Angle: 337.4299352132932, Acceleration: 1.9986238540615897
Node ID: vehicle_3, Type: vehicle, Position (x, y, z): (553.2272371523176, 2042.9780313450553, 0), Speed: 4.561541483837346, Angle: 221.1087522265875, Acceleration: -1.2969825859385509
Node ID: vehicle_4, Type: vehicle, Position (x, y, z): (1436.0676060741403, 1580.8593836534167, 0), Speed: 0.0, Angle: 334.91509113157014, Acceleration: 0.0
Node ID: UAV_0, Type: uav, Position (x, y, z): (976.4943269681035, 2104.668911727586, 141.1630265406534), Speed: 29.834439500781105, Angle: 0.6588928582470461, Acceleration: -172.74325235828584
Node ID: UAV_1, Type: uav, Position (x, y, z): (115.9735393157988, 1127.2196696562398, 110.64182338804153), Speed: 23.830347507601456, Angle: 0.7444586955151543, Acceleration: 0.5718310068050414
Node ID: UAV_2, Type: uav, Position (x, y, z): (1437.3777299940052, 2238.6131333335557, 165.48366867062856), Speed: 23.428868553137352, Angle: 6.059305002622845, Acceleration: -23.40783284576723
Node ID: UAV_3, Type: uav, Position (x, y, z): (1702.8392815677162, 697.0268480997621, 163.51902734976682), Speed: 20.814556004321354, Angle: 6.1290825301951175, Acceleration: -46.881989998865876
Node ID: UAV_4, Type: uav, Position (x, y, z): (1516.0528067268183, 1353.8366757823712, 185.51314770077306), Speed: 25.613470957195567, Angle: 4.218328824175506, Acceleration: -10.616156041353335
Node ID: UAV_5, Type: uav, Position (x, y, z): (732.1407029533741, 994.430163047106, 146.28764978326956), Speed: 19.7496328637781, Angle: 4.485399263645501, Acceleration: -92.52035237207339
Node ID: UAV_6, Type: uav, Position (x, y, z): (2700.8412489729913, 820.3250607826361, 170.4863441752077), Speed: 16.009747019850376, Angle: 1.0988568156007013, Acceleration: 76.55363283052824
Node ID: UAV_7, Type: uav, Position (x, y, z): (555.9868121103542, 1837.6403829434134, 179.5077267910001), Speed: 20.370941470020465, Angle: 6.03538836846773, Acceleration: 70.07193869814714
Node ID: UAV_8, Type: uav, Position (x, y, z): (2463.4775260589886, 403.52871424722036, 147.29498250567818), Speed: 10.203544826373507, Angle: 2.962453290721134, Acceleration: 45.27093026591094
Node ID: UAV_9, Type: uav, Position (x, y, z): (377.1402871890835, 192.9488794294672, 172.8354489593582), Speed: 19.838254741564487, Angle: 3.00920407525587, Acceleration: 4.662719976171843
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #1270:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (1740.814255424631, 1599.9386585863965, 0), Speed: 11.732460029119068, Angle: 174.65881250315059, Acceleration: 0.1942043538671001
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (591.787899094715, 1203.1509924195407, 0), Speed: 9.734471026003309, Angle: 151.7122258131701, Acceleration: 1.6012561273528192
Node ID: vehicle_2, Type: vehicle, Position (x, y, z): (1481.4842771279077, 1185.269982999013, 0), Speed: 7.882915722463612, Angle: 338.5922284165281, Acceleration: 1.9714799670036864
Node ID: vehicle_3, Type: vehicle, Position (x, y, z): (552.550737158994, 2040.72614287613, 0), Speed: 1.4802390175189164, Angle: 209.4928423032102, Acceleration: -0.24684690599195092
Node ID: vehicle_4, Type: vehicle, Position (x, y, z): (1435.5271384462046, 1582.013950032757, 0), Speed: 2.2052205628217285, Angle: 334.91509113157014, Acceleration: 1.7132657157439812
Node ID: vehicle_5, Type: vehicle, Position (x, y, z): (544.0890182531243, 1629.7770439073297, 0), Speed: 2.097557090952341, Angle: 71.70565160495671, Acceleration: 2.3146439098308313
Node ID: vehicle_6, Type: vehicle, Position (x, y, z): (1491.0706779661018, 1952.8416949152543, 0), Speed: 0.0, Angle: 71.69153172110454, Acceleration: 0.0
Node ID: UAV_0, Type: uav, Position (x, y, z): (973.257066125354, 2099.878075939835, 141.1630265406534), Speed: 27.59216469106166, Angle: 4.621502210717411, Acceleration: -77.2527508984242
Node ID: UAV_1, Type: uav, Position (x, y, z): (109.79905673847487, 1115.2753960531506, 110.64182338804153), Speed: 26.59879637155042, Angle: 3.9552362574850006, Acceleration: -65.06206692001342
Node ID: UAV_2, Type: uav, Position (x, y, z): (1436.550513342772, 2242.2988002968473, 165.48366867062856), Speed: 11.998958438700786, Angle: 5.726698034497475, Acceleration: 0.20548096182036346
Node ID: UAV_3, Type: uav, Position (x, y, z): (1708.352889906701, 705.0431441183649, 163.51902734976682), Speed: 16.622750105410617, Angle: 2.3653422229362646, Acceleration: 122.37390751122696
Node ID: UAV_4, Type: uav, Position (x, y, z): (1516.2039553661373, 1353.133739324405, 185.51314770077306), Speed: 17.12892208484442, Angle: 5.603149795778668, Acceleration: 95.88638444794998
Node ID: UAV_5, Type: uav, Position (x, y, z): (725.6767975175741, 989.8753487437705, 146.28764978326956), Speed: 12.836272550461194, Angle: 5.758288701875853, Acceleration: 152.68626038873876
Node ID: UAV_6, Type: uav, Position (x, y, z): (2699.096644679241, 831.0980284740928, 170.4863441752077), Speed: 21.387664318421304, Angle: 0.09809306619231488, Acceleration: -41.77720351843643
Node ID: UAV_7, Type: uav, Position (x, y, z): (547.6975351994173, 1837.2026574859374, 179.5077267910001), Speed: 28.279356558912227, Angle: 0.25646106536285895, Acceleration: -73.75383940791906
Node ID: UAV_8, Type: uav, Position (x, y, z): (2469.4977103440106, 394.9097448415651, 147.29498250567818), Speed: 27.117206620567007, Angle: 4.302549707216018, Acceleration: -4.492090455125961
Node ID: UAV_9, Type: uav, Position (x, y, z): (381.80813215029804, 195.10170601337035, 172.8354489593582), Speed: 28.342925930750624, Angle: 0.5850995183748404, Acceleration: -43.37209068344826
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #1280:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (1741.851923094294, 1588.2624728455141, 0), Speed: 11.657583372263145, Angle: 174.92144135950383, Acceleration: -1.1874057192122578
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (596.929461956476, 1193.5971907421354, 0), Speed: 11.770635137910437, Angle: 151.7122258131701, Acceleration: 2.5186698945704755
