step,succ_ratio,avg_speed_car,avg_speed_uav,v2u_rate,v2i_rate,u2i_rate,avg_running_compute_delay,pre_ratio,pre_v2u_rate,pre_v2i_rate,pre_u2i_rate
2780,0.5588,9.54,22.33,0.14,0.36,0.44,0.9333,0.5588,0.14,0.36,0.45
2790,0.5584,9.64,21.83,0.14,0.36,0.44,0.5,0.5588,0.14,0.36,0.44
2800,0.5592,9.76,21.25,0.14,0.36,0.44,0.5,0.5584,0.14,0.36,0.44
2810,0.5591,9.54,21.58,0.14,0.36,0.44,0.7,0.5592,0.14,0.36,0.44
2820,0.5599,9.57,21.39,0.14,0.36,0.44,0.0,0.5591,0.14,0.36,0.44
2830,0.5595,9.7,19.78,0.14,0.36,0.44,1.42,0.5599,0.14,0.36,0.44
2840,0.5594,9.9,21.32,0.16,0.36,0.44,0.7375,0.5595,0.14,0.36,0.44
2850,0.5599,10.02,20.75,0.16,0.35,0.43,0.65,0.5594,0.16,0.36,0.44
2860,0.5609,9.96,19.4,0.16,0.35,0.43,0.6833,0.5599,0.16,0.35,0.43
2870,0.562,9.92,19.52,0.16,0.35,0.43,0.65,0.5609,0.16,0.35,0.43
2880,0.5621,10.04,20.82,0.16,0.35,0.43,0.8375,0.562,0.16,0.35,0.43
2890,0.562,9.83,16.03,0.18,0.35,0.43,0.64,0.5621,0.16,0.35,0.43
2900,0.5628,9.9,24.62,0.18,0.35,0.43,0.8667,0.562,0.18,0.35,0.43
2910,0.5629,10.07,16.33,0.21,0.35,0.42,0.7357,0.5628,0.18,0.35,0.43
2920,0.5636,9.97,17.58,0.21,0.35,0.42,0.6167,0.5629,0.21,0.35,0.42
2930,0.5641,9.75,19.13,0.21,0.34,0.42,1.6,0.5636,0.21,0.35,0.42
2940,0.5638,9.47,20.07,0.21,0.34,0.42,0.5833,0.5641,0.21,0.34,0.42
2950,0.564,9.47,21.06,0.2,0.34,0.42,0.0,0.5638,0.21,0.34,0.42
2960,0.564,9.41,21.12,0.2,0.34,0.42,1.2,0.564,0.2,0.34,0.42
2970,0.5642,9.18,22.33,0.2,0.34,0.42,1.2333,0.564,0.2,0.34,0.42
2980,0.5641,8.77,20.73,0.2,0.34,0.41,0.7625,0.5642,0.2,0.34,0.42
2990,0.5643,8.67,17.21,0.2,0.34,0.41,1.25,0.5641,0.2,0.34,0.41
3000,0.5648,8.59,16.36,0.2,0.34,0.41,0.55,0.5643,0.2,0.34,0.41
