step,succ_ratio,avg_speed_car,avg_speed_uav,v2u_rate,v2i_rate,u2i_rate,avg_running_compute_delay,pre_ratio,pre_v2u_rate,pre_v2i_rate,pre_u2i_rate
660,0.6983,11.24,20.88,0.2,0.0,0.11,0.5667,0.7105,0.21,0.0,0.11
670,0.7059,11.16,19.73,0.2,0.0,0.11,1.25,0.6983,0.2,0.0,0.11
680,0.7059,10.77,19.01,0.2,0.0,0.11,0.4,0.7059,0.2,0.0,0.11
690,0.7154,10.36,18.67,0.2,0.0,0.11,1.1738,0.7059,0.2,0.0,0.11
700,0.6757,10.2,20.82,0.19,0.0,0.11,0.925,0.7154,0.2,0.0,0.11
710,0.6667,10.16,21.98,0.19,0.0,0.11,0.35,0.6757,0.19,0.0,0.11
720,0.6711,10.19,20.32,0.19,0.0,0.1,1.4,0.6667,0.19,0.0,0.11
730,0.6623,10.2,17.18,0.18,0.0,0.1,1.1143,0.6711,0.19,0.0,0.1
740,0.6425,10.31,16.26,0.18,0.0,0.1,1.2208,0.6623,0.18,0.0,0.1
750,0.6389,10.31,21.45,0.18,0.0,0.1,1.3467,0.6425,0.18,0.0,0.1
760,0.6257,10.42,18.56,0.18,0.0,0.1,1.0875,0.6389,0.18,0.0,0.1
770,0.6062,10.87,18.23,0.17,0.0,0.1,1.1719,0.6257,0.18,0.0,0.1
780,0.586,10.9,22.0,0.17,0.0,0.1,0.85,0.6062,0.17,0.0,0.1
790,0.588,11.1,20.69,0.17,0.0,0.09,0.125,0.586,0.17,0.0,0.1
800,0.5917,11.3,18.56,0.17,0.0,0.09,1.15,0.588,0.17,0.0,0.09
810,0.5917,11.55,22.01,0.17,0.0,0.09,1.2737,0.5917,0.17,0.0,0.09
820,0.5909,11.26,18.79,0.16,0.0,0.09,0.9833,0.5917,0.17,0.0,0.09
830,0.5743,11.57,23.23,0.16,0.0,0.09,1.25,0.5909,0.16,0.0,0.09
840,0.5743,11.87,22.52,0.16,0.0,0.09,0.5,0.5743,0.16,0.0,0.09
850,0.5794,11.84,16.87,0.16,0.0,0.09,0.9278,0.5743,0.16,0.0,0.09
860,0.5882,11.71,16.66,0.16,0.0,0.09,1.1722,0.5794,0.16,0.0,0.09
870,0.5861,11.71,16.45,0.15,0.0,0.09,0.4167,0.5882,0.16,0.0,0.09
880,0.5921,11.55,21.56,0.15,0.0,0.08,0.7,0.5861,0.15,0.0,0.09
890,0.6063,11.43,17.57,0.18,0.05,0.08,0.7321,0.5921,0.15,0.0,0.08
900,0.6159,11.01,22.89,0.17,0.05,0.08,0.46,0.6063,0.18,0.05,0.08
910,0.6156,10.76,20.43,0.17,0.05,0.08,0.45,0.6159,0.17,0.05,0.08
920,0.6181,10.64,20.25,0.17,0.05,0.08,0.8333,0.6156,0.17,0.05,0.08
930,0.6194,10.68,22.06,0.21,0.07,0.08,1.139,0.6181,0.17,0.05,0.08
